DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,0.00339999,0,9e+10,0,0,2,2
10002,1,10002,0.00339999,0,9e+10,0,0,2,2
10003,2,10003,0.00339999,0,inf,0,0,2,2
10004,3,10004,0.00350034,0,9965.24,0,0,2,2
10005,4,10005,0.00339999,0,-9965.24,0,0,2,2
10006,5,10006,0.00339999,0,-7.68614e+17,0,0,2,2
10007,6,10007,0.00339999,0,-4.5036e+15,0,0,2,2
10008,7,10008,0.00339999,0,4.5036e+15,0,0,2,2
10009,8,10009,0.00339999,0,-3.29406e+17,0,0,2,2
10010,9,10010,0.00339999,0,-4.56603e+15,0,0,2,2
10011,10,10011,0.00339999,0,4.5036e+15,0,0,2,2
10012,11,10012,0.00349999,0,10000.1,0,0,2,2
10013,12,10013,0.00339999,0,-10000.1,0,0,2,2
10014,13,10014,0.00339999,0,-4.5036e+15,0,0,2,2
10015,14,10015,0.00339999,0,4.5036e+15,0,0,2,2
10016,15,10016,0.00339999,0,inf,0,0,2,2
10017,16,10017,0.00339999,0,-4.5036e+15,0,0,2,2
10018,17,10018,0.00339999,0,4.5036e+15,0,0,2,2
10019,18,10019,0.00339999,0,inf,0,0,2,2
10020,19,10020,0.00349999,0,10000.1,0,0,2,2
10021,20,10021,0.00340033,0,-10034.2,0,0,2,2
10022,21,10022,0.00339999,0,-2.94092e+06,0,0,2,2
10023,22,10023,0.00339999,0,inf,0,0,2,2
10024,23,10024,0.00339999,0,-4.5036e+15,0,0,2,2
10025,24,10025,0.00339999,0,4.5036e+15,0,0,2,2
10026,25,10026,0.00339999,0,inf,0,0,2,2
10027,26,10027,0.00339999,0,-4.5036e+15,0,0,2,2
