x,y,z,yaw,velocity,change_flag
0.4160,1.6074,-0.3718,0.0034,10.0000,0
1.4160,1.6108,-0.3720,0.0034,10.0000,0
2.4160,1.6142,-0.3723,0.0034,10.0000,0
3.4159,1.6177,-0.3725,0.0034,10.0000,0
4.4159,1.6211,-0.3727,0.0034,10.0000,0
5.4159,1.6245,-0.3730,0.0034,10.0000,0
6.4159,1.6279,-0.3732,0.0034,10.0000,0
7.4159,1.6313,-0.3734,0.0034,10.0000,0
8.4159,1.6347,-0.3736,0.0034,10.0000,0
9.4159,1.6381,-0.3739,0.0034,10.0000,0
10.4159,1.6415,-0.3741,0.0034,10.0000,0
11.4159,1.6450,-0.3743,0.0034,10.0000,0
12.4159,1.6484,-0.3746,0.0034,10.0000,0
13.4159,1.6518,-0.3748,0.0034,10.0000,0
14.4159,1.6552,-0.3750,0.0034,10.0000,0
15.4159,1.6586,-0.3753,0.0034,10.0000,0
16.4159,1.6620,-0.3755,0.0034,10.0000,0
17.4159,1.6654,-0.3757,0.0034,10.0000,0
18.4159,1.6688,-0.3760,0.0034,10.0000,0
19.4159,1.6723,-0.3762,0.0034,10.0000,0
20.4158,1.6757,-0.3764,0.0034,10.0000,0
21.4158,1.6791,-0.3767,0.0034,10.0000,0
22.4158,1.6825,-0.3769,0.0034,10.0000,0
23.4158,1.6859,-0.3771,0.0034,10.0000,0
24.4158,1.6893,-0.3774,0.0034,10.0000,0
25.4158,1.6927,-0.3776,0.0034,10.0000,0
26.4158,1.6961,-0.3778,0.0034,10.0000,0
